2026-04-27 17:18:36.099 [Thread-476      ] INFO    com.silabs.java.utils.log.TopicLog - Process start:/home/ty/.silabs/slt/installs/archive/v6-base-v6.1.4-238/SimplicityStudio-6/sts_back_end/developer/adapter_packs/python/bin/python3 /home/ty/.silabs/slt/installs/archive/v6-base-v6.1.4-238/SimplicityStudio-6/sts_back_end/developer/adapter_packs/python/bin/python3 -E bgbuild.py /home/ty/SimplicityStudio/BLE_MCU/BLE_MCU/config/btconf -o /tmp/apack_btConfig2924124025158492110/output
2026-04-27 17:18:36.170 [Thread-476      ] INFO    com.silabs.java.utils.log.TopicLog - Process exit:/home/ty/.silabs/slt/installs/archive/v6-base-v6.1.4-238/SimplicityStudio-6/sts_back_end/developer/adapter_packs/python/bin/python3 /home/ty/.silabs/slt/installs/archive/v6-base-v6.1.4-238/SimplicityStudio-6/sts_back_end/developer/adapter_packs/python/bin/python3 -E bgbuild.py /home/ty/SimplicityStudio/BLE_MCU/BLE_MCU/config/btconf -o /tmp/apack_btConfig2924124025158492110/output => Exit code:0
2026-04-27 17:18:36.201 [nfig for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: AC content generated for apack_btConfig in project BLE_MCU. Elapsed time: 105ms
2026-04-27 17:18:36.201 [ generation task] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting project generation for BLE_MCU: Mon Apr 27 17:18:36 GMT+08:00 2026
2026-04-27 17:18:36.357 [ generation task] WARN    com.silabs.java.utils.log.TopicLog - Generation: Projects generated BLE_MCU.cmake
2026-04-27 17:18:36.357 [ generation task] WARN    com.silabs.java.utils.log.TopicLog - Generation: Project generation completed for BLE_MCU: Elapsed time: 156ms
2026-04-27 17:18:36.358 [igurable Project] WARN    com.silabs.java.utils.log.TopicLog - Total generation time: 263 ms

2026-04-27 17:25:25.541 [tp954928973-6139] INFO      <.s.ss.platform.descriptor.core> - SLT Installation took 1s

Output:

1390495

2026-04-27 18:02:07.845 [tp954928973-6139] WARN    com.silabs.java.utils.log.TopicLog - Saving project: BLE_MCU
2026-04-27 18:02:07.846 [tp954928973-6139] WARN    com.silabs.java.utils.log.TopicLog - Project Saved!: BLE_MCU
2026-04-27 18:02:07.847 [igurable Project] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ucProject] to null
2026-04-27 18:02:07.848 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of ucProject to project BLE_MCU: 18:02:07.848646357
2026-04-27 18:02:07.848 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for ucProject in project BLE_MCU: Mon Apr 27 18:02:07 GMT+08:00 2026
2026-04-27 18:02:07.984 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ProjectPostBuild] to null
2026-04-27 18:02:07.984 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of ProjectPostBuild to project BLE_MCU: 18:02:07.984625670
2026-04-27 18:02:07.984 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for ProjectPostBuild in project BLE_MCU: Mon Apr 27 18:02:07 GMT+08:00 2026
2026-04-27 18:02:07.992 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: AC content generated for ProjectPostBuild in project BLE_MCU. Elapsed time: 8ms
2026-04-27 18:02:08.106 [tp954928973-6139] WARN    com.silabs.java.utils.log.TopicLog - Saving project: BLE_MCU
2026-04-27 18:02:08.106 [tp954928973-6139] WARN    com.silabs.java.utils.log.TopicLog - Project Saved!: BLE_MCU
